sample,biosample,group,mass
QC_POS_01,QC-01,QC,
QC_POS_02,QC-02,QC,
QC_POS_03,QC-03,QC,
S1_POS_01,S1-01,Treatment,0.3009
S1_POS_02,S1-02,Treatment,0.3009
S2_POS_01,S2-01,Treatment,0.278
S2_POS_02,S2-02,Treatment,0.278
S3_POS_01,S3-01,Treatment,0.2596
S3_POS_02,S3-02,Treatment,0.2596
S4_POS_01,S4-01,Treatment,0.301
S4_POS_02,S4-02,Treatment,0.301
S5_POS_01,S5-01,Control,0.3058
S5_POS_02,S5-02,Control,0.3058
S6_POS_01,S6-01,Control,0.3057
S6_POS_02,S6-02,Control,0.3057
S7_POS_01,S7-01,Control,0.3033
S7_POS_02,S7-02,Control,0.3033
S8_POS_01,S8-01,Control,0.3008
S8_POS_02,S8-02,Control,0.3008
QC_NEG_01,QC-01,QC,
QC_NEG_02,QC-02,QC,
QC_NEG_03,QC-03,QC,
S1_NEG_01,S1-01,Treatment,0.3009
S1_NEG_02,S1-02,Treatment,0.3009
S2_NEG_01,S2-01,Treatment,0.278
S2_NEG_02,S2-02,Treatment,0.278
S3_NEG_01,S3-01,Treatment,0.2596
S3_NEG_02,S3-02,Treatment,0.2596
S4_NEG_01,S4-01,Treatment,0.301
S4_NEG_02,S4-02,Treatment,0.301
S5_NEG_01,S5-01,Control,0.3058
S5_NEG_02,S5-02,Control,0.3058
S6_NEG_01,S6-01,Control,0.3057
S6_NEG_02,S6-02,Control,0.3057
S7_NEG_01,S7-01,Control,0.3033
S7_NEG_02,S7-02,Control,0.3033
S8_NEG_01,S8-01,Control,0.3008
S8_NEG_02,S8-02,Control,0.3008
